"NAME","VALUE","ISDEFAULT"
"audit_file_dest","/u01/app/oracle/admin/orcl/adump","FALSE"
"audit_trail","DB","FALSE"
"compatible","19.0.0","FALSE"
"control_files","/u01/app/oracle/oradata/ORCL/control01.ctl, /u01/app/oracle/oradata/ORCL/control02.ctl","FALSE"
"db_block_size","8192","FALSE"
"db_create_file_dest","/u02/oradata","FALSE"
"db_domain","localdomain","FALSE"
"db_name","orcl","FALSE"
"diagnostic_dest","/u01/app/oracle","FALSE"
"dispatchers","(PROTOCOL=TCP) (SERVICE=cdb1XDB)","FALSE"
"enable_pluggable_database","TRUE","FALSE"
"local_listener","LISTENER_CDB1","FALSE"
"memory_max_target","4294967296","FALSE"
"memory_target","3221225472","FALSE"
"nls_language","AMERICAN","FALSE"
"nls_territory","CANADA","FALSE"
"open_cursors","300","FALSE"
"pga_aggregate_target","0","FALSE"
"processes","300","FALSE"
"remote_login_passwordfile","EXCLUSIVE","FALSE"
"sga_target","0","FALSE"
"undo_tablespace","UNDOTBS1","FALSE"
