"OWNER","TABLE_NAME","COLUMN_ID","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","NULLABLE"
"HAL","ARTICLE_ABSTRACTS",1,"DOCID","VARCHAR2",50,"N"
"HAL","ARTICLE_ABSTRACTS",2,"ABSTRACT_TEXT","CLOB",4000,"Y"
"HAL","ARTICLE_ABSTRACTS",3,"ABSTRACT_LENGTH","NUMBER",22,"Y"
"HAL","ARTICLE_AUTHORS",1,"DOCID","VARCHAR2",50,"N"
"HAL","ARTICLE_AUTHORS",2,"AUTHOR_NAME","VARCHAR2",1000,"Y"
"HAL","ARTICLE_COLLECTIONS",1,"DOCID","VARCHAR2",50,"N"
"HAL","ARTICLE_COLLECTIONS",2,"COLL_CODE","VARCHAR2",100,"Y"
"HAL","ARTICLE_DOMAINS_CODE",1,"DOCID","VARCHAR2",50,"N"
"HAL","ARTICLE_DOMAINS_CODE",2,"DOMAIN_CODE","VARCHAR2",500,"Y"
"HAL","ARTICLE_DOMAINS_EN",1,"DOCID","VARCHAR2",50,"N"
"HAL","ARTICLE_DOMAINS_EN",2,"DOMAIN_LABEL","VARCHAR2",1000,"Y"
"HAL","ARTICLE_DOMAINS_FR",1,"DOCID","VARCHAR2",50,"N"
"HAL","ARTICLE_DOMAINS_FR",2,"DOMAIN_LABEL","VARCHAR2",1000,"Y"
"HAL","ARTICLE_KEYWORDS",1,"DOCID","VARCHAR2",50,"N"
"HAL","ARTICLE_KEYWORDS",2,"KEYWORD","VARCHAR2",4000,"Y"
"HAL","BIN$Tl3WrCpNLXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"Y"
"HAL","BIN$Tl3WrCpNLXLgY1krDAo1lA==$0",2,"DOMAIN_CODE","VARCHAR2",500,"Y"
"HAL","BIN$Tl3WrCpOLXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"Y"
"HAL","BIN$Tl3WrCpOLXLgY1krDAo1lA==$0",2,"DOMAIN_LABEL","VARCHAR2",1000,"Y"
"HAL","BIN$Tl3WrCpPLXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"Y"
"HAL","BIN$Tl3WrCpPLXLgY1krDAo1lA==$0",2,"DOMAIN_LABEL","VARCHAR2",1000,"Y"
"HAL","BIN$Tl3WrCpQLXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"Y"
"HAL","BIN$Tl3WrCpQLXLgY1krDAo1lA==$0",2,"KEYWORD","VARCHAR2",4000,"Y"
"HAL","BIN$Tl3WrCpSLXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"N"
"HAL","BIN$Tl3WrCpSLXLgY1krDAo1lA==$0",2,"ABSTRACT_TEXT","CLOB",4000,"Y"
"HAL","BIN$Tl3WrCpSLXLgY1krDAo1lA==$0",3,"ABSTRACT_LENGTH","NUMBER",22,"Y"
"HAL","BIN$Tl3WrCpTLXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"Y"
"HAL","BIN$Tl3WrCpTLXLgY1krDAo1lA==$0",2,"COLL_CODE","VARCHAR2",100,"Y"
"HAL","BIN$Tl3WrCpULXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"Y"
"HAL","BIN$Tl3WrCpULXLgY1krDAo1lA==$0",2,"AUTHOR_NAME","VARCHAR2",1000,"Y"
"HAL","BIN$Tl3WrCpXLXLgY1krDAo1lA==$0",1,"DOCID","VARCHAR2",50,"N"
"HAL","BIN$Tl3WrCpXLXLgY1krDAo1lA==$0",2,"URI","VARCHAR2",255,"Y"
"HAL","BIN$Tl3WrCpXLXLgY1krDAo1lA==$0",3,"LABEL","CLOB",4000,"Y"
"HAL","BIN$Tl3WrCpXLXLgY1krDAo1lA==$0",4,"TITLE_1","VARCHAR2",4000,"Y"
"HAL","BIN$Tl3WrCpXLXLgY1krDAo1lA==$0",5,"TITLE_2","VARCHAR2",4000,"Y"
